Time Stamp,Name,PTID,LBMP ($/MWHr),Marginal Cost Losses ($/MWHr),Marginal Cost Congestion ($/MWHr)
05/10/2026 00:00,CAPITL,61757,40.30,1.35,-8.96
05/10/2026 00:00,CENTRL,61754,30.87,-0.21,-1.10
05/10/2026 00:00,DUNWOD,61760,40.04,2.31,-7.74
05/10/2026 00:00,GENESE,61753,28.97,-1.56,-0.55
05/10/2026 00:00,H Q,61844,29.74,-0.24,0.00
05/10/2026 00:00,HUD VL,61758,39.63,1.98,-7.67
05/10/2026 00:00,LONGIL,61762,40.65,2.91,-7.76
05/10/2026 00:00,MHK VL,61756,32.62,0.63,-2.00
05/10/2026 00:00,MILLWD,61759,39.92,2.16,-7.77
05/10/2026 00:00,N.Y.C.,61761,40.19,2.46,-7.75
05/10/2026 00:00,NORTH,61755,29.56,-0.42,0.00
05/10/2026 00:00,NPX,61845,49.50,1.62,-17.90
05/10/2026 00:00,O H,61846,27.90,-2.61,-0.53
05/10/2026 00:00,PJM,61847,34.39,0.06,-4.35
05/10/2026 00:00,WEST,61752,28.02,-2.49,-0.52
05/10/2026 01:00,CAPITL,61757,35.87,1.35,-4.46
05/10/2026 01:00,CENTRL,61754,30.36,-0.24,-0.54
05/10/2026 01:00,DUNWOD,61760,36.23,2.31,-3.85
05/10/2026 01:00,GENESE,61753,28.71,-1.62,-0.27
05/10/2026 01:00,H Q,61844,29.82,-0.24,0.00
05/10/2026 01:00,HUD VL,61758,35.86,1.98,-3.81
05/10/2026 01:00,LONGIL,61762,36.84,2.92,-3.86
05/10/2026 01:00,MHK VL,61756,31.72,0.66,-1.00
05/10/2026 01:00,MILLWD,61759,36.12,2.19,-3.86
05/10/2026 01:00,N.Y.C.,61761,36.41,2.49,-3.85
05/10/2026 01:00,NORTH,61755,29.64,-0.42,0.00
05/10/2026 01:00,NPX,61845,41.30,1.62,-9.62
05/10/2026 01:00,O H,61846,27.70,-2.62,-0.25
05/10/2026 01:00,PJM,61847,32.28,0.06,-2.16
05/10/2026 01:00,WEST,61752,27.82,-2.49,-0.25
05/10/2026 02:00,CAPITL,61757,35.18,1.33,-4.43
05/10/2026 02:00,CENTRL,61754,29.76,-0.20,-0.54
05/10/2026 02:00,DUNWOD,61760,35.37,2.12,-3.83
05/10/2026 02:00,GENESE,61753,28.07,-1.62,-0.27
05/10/2026 02:00,H Q,61844,29.19,-0.24,0.00
05/10/2026 02:00,HUD VL,61758,35.07,1.85,-3.79
05/10/2026 02:00,LONGIL,61762,36.00,2.74,-3.84
05/10/2026 02:00,MHK VL,61756,31.06,0.65,-0.99
05/10/2026 02:00,MILLWD,61759,35.29,2.03,-3.84
05/10/2026 02:00,N.Y.C.,61761,35.55,2.30,-3.83
05/10/2026 02:00,NORTH,61755,29.04,-0.38,0.00
05/10/2026 02:00,NPX,61845,36.40,1.56,-5.42
05/10/2026 02:00,O H,61846,27.00,-2.68,-0.25
05/10/2026 02:00,PJM,61847,31.57,0.00,-2.14
05/10/2026 02:00,WEST,61752,27.23,-2.44,-0.25
05/10/2026 03:00,CAPITL,61757,32.71,1.27,-2.58
05/10/2026 03:00,CENTRL,61754,28.94,-0.23,-0.31
05/10/2026 03:00,DUNWOD,61760,33.22,2.14,-2.23
05/10/2026 03:00,GENESE,61753,27.39,-1.62,-0.15
05/10/2026 03:00,H Q,61844,28.66,-0.20,0.00
05/10/2026 03:00,HUD VL,61758,32.91,1.85,-2.21
05/10/2026 03:00,LONGIL,61762,33.84,2.74,-2.24
05/10/2026 03:00,MHK VL,61756,30.07,0.63,-0.58
05/10/2026 03:00,MILLWD,61759,33.15,2.05,-2.24
05/10/2026 03:00,N.Y.C.,61761,33.40,2.31,-2.23
05/10/2026 03:00,NORTH,61755,28.48,-0.38,0.00
05/10/2026 03:00,NPX,61845,35.16,1.53,-4.78
05/10/2026 03:00,O H,61846,26.40,-2.60,-0.14
05/10/2026 03:00,PJM,61847,30.13,0.03,-1.25
05/10/2026 03:00,WEST,61752,26.63,-2.37,-0.14
05/10/2026 04:00,CAPITL,61757,32.45,1.34,0.00
05/10/2026 04:00,CENTRL,61754,30.93,-0.19,0.00
05/10/2026 04:00,DUNWOD,61760,33.23,2.12,0.00
05/10/2026 04:00,GENESE,61753,29.65,-1.46,0.01
05/10/2026 04:00,H Q,61844,30.90,-0.22,0.00
05/10/2026 04:00,HUD VL,61758,33.01,1.90,0.00
05/10/2026 04:00,LONGIL,61762,33.93,2.80,-0.01
05/10/2026 04:00,MHK VL,61756,31.83,0.72,0.00
05/10/2026 04:00,MILLWD,61759,33.14,2.02,0.00
05/10/2026 04:00,N.Y.C.,61761,33.39,2.27,0.00
05/10/2026 04:00,NORTH,61755,30.74,-0.37,0.00
05/10/2026 04:00,NPX,61845,39.30,1.59,-6.60
05/10/2026 04:00,O H,61846,28.53,-2.58,0.01
05/10/2026 04:00,PJM,61847,31.02,-0.09,0.00
05/10/2026 04:00,WEST,61752,28.56,-2.55,0.01
05/10/2026 05:00,CAPITL,61757,32.72,1.38,0.00
05/10/2026 05:00,CENTRL,61754,31.09,-0.25,0.00
05/10/2026 05:00,DUNWOD,61760,33.63,2.29,0.00
05/10/2026 05:00,GENESE,61753,29.80,-1.54,0.01
05/10/2026 05:00,H Q,61844,31.12,-0.22,0.00
05/10/2026 05:00,HUD VL,61758,33.35,2.01,0.00
05/10/2026 05:00,LONGIL,61762,34.33,2.98,-0.01
05/10/2026 05:00,MHK VL,61756,32.09,0.75,0.00
05/10/2026 05:00,MILLWD,61759,33.54,2.19,0.00
05/10/2026 05:00,N.Y.C.,61761,33.79,2.45,0.00
05/10/2026 05:00,NORTH,61755,30.93,-0.41,0.00
05/10/2026 05:00,NPX,61845,43.70,1.63,-10.73
05/10/2026 05:00,O H,61846,28.67,-2.66,0.01
05/10/2026 05:00,PJM,61847,31.28,-0.06,0.00
05/10/2026 05:00,WEST,61752,28.76,-2.57,0.01
05/10/2026 06:00,CAPITL,61757,36.53,1.54,0.00
05/10/2026 06:00,CENTRL,61754,34.74,-0.24,0.00
05/10/2026 06:00,DUNWOD,61760,37.48,2.48,0.00
05/10/2026 06:00,GENESE,61753,33.23,-1.75,0.01
05/10/2026 06:00,H Q,61844,34.75,-0.24,0.00
05/10/2026 06:00,HUD VL,61758,37.20,2.21,0.00
05/10/2026 06:00,LONGIL,61762,38.26,3.25,-0.01
05/10/2026 06:00,MHK VL,61756,36.04,1.05,0.00
05/10/2026 06:00,MILLWD,61759,37.37,2.38,0.00
05/10/2026 06:00,N.Y.C.,61761,37.58,2.59,0.00
05/10/2026 06:00,NORTH,61755,34.64,-0.35,0.00
05/10/2026 06:00,NPX,61845,46.10,1.78,-9.33
05/10/2026 06:00,O H,61846,31.90,-3.08,0.01
05/10/2026 06:00,PJM,61847,34.88,-0.10,0.01
